Batsman, Bowler, TimeBowled, Inning, Over, Ball, Runs, Wicket, Bat_hand, bowler_hand, releaseX, releaseY, releaseZ, releaseSpeed, bounceX, bounceY, bounceSpeed, stumpPosX, stumpPosY, stumpPosZ, stumpSpeed, deviation, swing, dropAngle, bounceAngle 
Matt Renshaw, Mohammad Amir, 2017-01-03T12:30:59,1,0,1,1, N, L, L,18.5209,0.560635,1.92669,136.226,7.12273,0.0673734,115.094,0,-0.258717,0.819833,104.076,-0.157018,0,11.685,8.28837
David Warner, Mohammad Amir, 2017-01-03T12:31:59,1,0,2,0, N, L, L,18.5723,0.643373,1.92308,143.716,6.77382,-0.0243112,123.519,0,-0.417401,0.869449,111.793,-0.17132,0.16902,11.3981,8.65345
David Warner, Mohammad Amir, 2017-01-03T12:32:37,1,0,3,4, N, L, L,18.4527,0.667036,1.93092,139.935,7.19427,0.395881,119.356,0,0.267965,1.00461,105.865,-0.0484566,0.800153,11.6678,9.65483
David Warner, Mohammad Amir, 2017-01-03T12:33:27,1,0,4,0, N, L, L,18.6551,0.661589,1.92651,141.295,7.02043,0.0292749,120.15,0,-0.292473,0.939165,107.59,0.486985,0,11.125,9.15531
Matt Renshaw, Mohammad Amir, 2017-01-03T12:34:08,1,0,5,0, N, L, L,18.7188,0.758504,1.96246,146.312,3.48509,0.225438,120.616,0,0.0898406,0.421594,113.984,-0.0862292,-0.261696,10.3502,7.15035
Matt Renshaw, Mohammad Amir, 2017-01-03T12:34:41,1,0,6,0, N, L, L,18.6552,0.763042,1.93256,140.851,7.35721,0.348197,120.351,0,0.16905,0.726776,107.874,0.448934,0.501241,11.5677,7.26401
David Warner, Imran Khan, 2017-01-03T12:35:55,1,1,1,0, N, L, R,18.4918,-0.77637,1.96861,128.231,6.37524,-0.0567101,111.566,0,0.287896,0.811844,100.551,0.284619,-1.14141,11.7455,8.82569
David Warner, Imran Khan, 2017-01-03T12:36:34,1,1,2,4, N, L, R,18.3414,-0.77308,1.94761,133.671,7.83638,0.0311651,116.066,0,0.745782,1.02587,103.17,0.922809,-0.174713,12.5183,9.36866
David Warner, Imran Khan, 2017-01-03T12:37:35,1,1,3,4, N, L, R,18.3662,-0.69175,1.93048,130.941,7.80534,0.0547097,114.584,0,0.613339,0.966545,101.261,0.29074,-0.465622,12.2963,9.07234
David Warner, Imran Khan, 2017-01-03T12:38:26,1,1,4,3, N, L, R,18.4575,-0.833192,1.94558,133.012,6.99191,-0.0283662,115.597,0,0.472249,0.857283,102.941,0.139882,-0.11535,11.9107,8.68158
Matt Renshaw, Imran Khan, 2017-01-03T12:39:30,1,1,5,0, N, L, R,18.3546,-0.646818,1.9743,131.433,5.96942,-0.160166,112.893,0,0.141668,0.774699,102.115,1.52226,-1.69881,11.5827,8.78753
Matt Renshaw, Imran Khan, 2017-01-03T12:40:13,1,1,6,0, N, L, R,18.5484,-0.768941,1.941,136.713,6.01963,0.134692,116.51,0,0.5341,0.668126,106.003,-0.244694,-0.160713,11.4871,7.64036
David Warner, Mohammad Amir, 2017-01-03T12:41:02,1,2,1,0, N, L, L,18.6145,0.733373,1.92197,143.359,5.86932,0.296456,125.023,0,0.304563,0.68339,114.696,1.35696,1.30881,11.0046,7.68501
