TimeBowled,Bowler,TimeBowled,Over,Ball,bowler_hand,releaseX,releaseY,releaseZ,releaseSpeed,bounceX,bounceY,bounceSpeed,stumpPosX,stumpPosY,stumpPosZ,stumpSpeed,deviation,swing,dropAngle,bounceAngle,hour,bounceZ,bowlerEnd
2017-01-03 12:35:55, Imran Khan, 2017-01-03T12:35:55,1,1, R,-8.4318,-0.77637,1.96861,128.231,3.68476,-0.0567101,111.566,10.06,0.287896,0.811844,100.551,0.284619,-1.14141,11.7455,8.82569,12,0.0001,south
2017-01-03 12:36:34, Imran Khan, 2017-01-03T12:36:34,1,2, R,-8.2814,-0.77308,1.94761,133.671,2.22362,0.0311651,116.066,10.06,0.745782,1.02587,103.17,0.922809,-0.174713,12.5183,9.36866,12,0.0001,south
2017-01-03 12:37:35, Imran Khan, 2017-01-03T12:37:35,1,3, R,-8.3062,-0.69175,1.93048,130.941,2.25466,0.0547097,114.584,10.06,0.613339,0.966545,101.261,0.29074,-0.465622,12.2963,9.07234,12,0.0001,south
2017-01-03 12:38:26, Imran Khan, 2017-01-03T12:38:26,1,4, R,-8.3975,-0.833192,1.94558,133.012,3.06809,-0.0283662,115.597,10.06,0.472249,0.857283,102.941,0.139882,-0.11535,11.9107,8.68158,12,0.0001,south
2017-01-03 12:39:30, Imran Khan, 2017-01-03T12:39:30,1,5, R,-8.2946,-0.646818,1.9743,131.433,4.09058,-0.160166,112.893,10.06,0.141668,0.774699,102.115,1.52226,-1.69881,11.5827,8.78753,12,0.0001,south
2017-01-03 12:40:13, Imran Khan, 2017-01-03T12:40:13,1,6, R,-8.4884,-0.768941,1.941,136.713,4.04037,0.134692,116.51,10.06,0.5341,0.668126,106.003,-0.244694,-0.160713,11.4871,7.64036,12,0.0001,south
2017-01-03 12:41:02, Mohammad Amir, 2017-01-03T12:41:02,2,1, L,8.5545,0.733373,1.92197,143.359,-4.19068,0.296456,125.023,-10.06,0.304563,0.68339,114.696,1.35696,1.30881,11.0046,7.68501,12,0.0001,north
2017-01-03 12:41:38, Mohammad Amir, 2017-01-03T12:41:38,2,2, L,8.4334,0.673256,1.91774,140.635,-2.79168,0.22229,121.484,-10.06,0.0340723,0.934568,108.179,0.665585,0.298707,11.5338,8.88802,12,0.0001,north
2017-01-03 12:42:22, Mohammad Amir, 2017-01-03T12:42:22,2,3, L,8.5812,0.722141,1.9188,143.444,-3.97136,0.444283,122.394,-10.06,0.415261,0.695885,110.613,0.0,1.92722,10.9859,7.66585,12,0.0001,north
2017-01-03 12:43:11, Mohammad Amir, 2017-01-03T12:43:11,2,4, L,8.4129,0.574993,1.9203,142.777,-3.68385,0.279717,124.275,-10.06,0.137948,0.653124,112.59,-0.320816,0.860028,11.0679,7.03749,12,0.0001,north
2017-01-03 12:43:52, Mohammad Amir, 2017-01-03T12:43:52,2,5, L,8.7243,0.60523,1.93453,150.065,-6.24186,-0.125135,122.57,-10.06,-0.251725,0.491515,115.487,1.16416,-0.508604,10.1384,7.69036,12,0.0001,north
2017-01-03 12:44:50, Mohammad Amir, 2017-01-03T12:44:50,2,6, L,8.346,0.780882,1.90582,142.266,-3.28437,0.29597,126.909,-10.06,0.0401007,0.725082,113.817,-0.2158,0.865472,10.9402,7.37774,12,0.0001,north
2017-01-03 12:45:53, Imran Khan, 2017-01-03T12:45:53,3,1, R,-8.3703,-0.71764,1.94325,134.037,4.15983,0.325195,115.145,10.06,0.789467,0.754361,111.396,0.068528,-0.644373,11.2477,8.39065,12,0.0001,south
2017-01-03 12:46:31, Imran Khan, 2017-01-03T12:46:31,3,2, R,-8.6264,-0.7092,1.95363,138.121,5.33017,0.564616,115.642,10.06,0.988124,0.524564,111.861,-0.551784,0.85455,10.9498,7.21084,12,0.0001,south
2017-01-03 12:47:11, Imran Khan, 2017-01-03T12:47:11,3,3, R,-8.4714,-0.758839,1.95829,140.335,6.91673,0.331879,119.778,10.06,0.531144,0.386653,114.088,-0.564406,0.258688,10.4274,7.1241,12,0.0001,south
2017-01-03 12:47:47, Imran Khan, 2017-01-03T12:47:47,3,4, R,-8.3765,-0.740777,1.97972,130.152,7.97563,0.416564,100.993,10.06,0.589251,0.338292,97.3024,0.569239,0.225554,9.59852,8.94975,12,0.0001,south
2017-01-03 12:48:27, Imran Khan, 2017-01-03T12:48:27,3,5, R,-8.3273,-0.763951,1.93293,136.129,4.28364,0.242788,115.329,10.06,0.682366,0.586388,110.568,-0.379492,0.312787,11.3894,6.97638,12,0.0001,south
2017-01-03 12:49:06, Imran Khan, 2017-01-03T12:49:06,3,6, R,-8.4951,-0.76894,1.94406,136.348,2.45244,0.0800053,116.954,10.06,0.559985,0.763154,104.87,-1.00191,0.340349,12.2531,7.54575,12,0.0001,south
2017-01-03 12:49:53, Mohammad Amir, 2017-01-03T12:49:53,4,1, L,8.416,0.606357,1.90347,142.223,-3.43063,0.0407422,121.906,-10.06,-0.317063,0.832744,109.347,-0.325057,-0.0559529,11.2202,8.52384,12,0.0001,north
2017-01-03 12:50:38, Mohammad Amir, 2017-01-03T12:50:38,4,2, L,8.3456,0.798949,1.87094,145.353,1.2485,0.430133,119.672,-10.06,-0.208628,1.40801,113.094,-0.498893,0.467719,15.7294,9.82364,12,0.0001,north
2017-01-03 12:51:19, Mohammad Amir, 2017-01-03T12:51:19,4,3, L,8.336,0.885004,1.85343,146.724,1.4819,0.538338,120.357,-10.06,0.0518529,1.41081,114.334,0.0906541,0.760018,16.0404,9.37731,12,0.0001,north
2017-01-03 12:51:59, Mohammad Amir, 2017-01-03T12:51:59,4,4, L,8.3899,0.763851,1.87926,140.7,-2.13636,0.35214,122.288,-10.06,0.0749457,0.972336,107.763,-0.0862292,0.625888,11.7729,8.73232,12,0.0001,north
2017-01-03 12:52:40, Mohammad Amir, 2017-01-03T12:52:40,4,5, L,8.425,0.745628,1.87133,140.023,-0.45606,0.587575,114.034,-10.06,0.704323,1.28509,111.42,1.20268,0.998188,13.2713,9.79254,12,0.0001,north
2017-01-03 12:53:21, Mohammad Amir, 2017-01-03T12:53:21,4,6, L,8.5271,0.624888,1.92149,140.897,-4.5954,0.247345,121.76,-10.06,0.116152,0.631903,110.979,0.560579,-0.554261,10.6108,7.52711,12,0.0001,north
2017-01-03 12:54:15, Imran Khan, 2017-01-03T12:54:15,5,1, R,-8.2557,-0.727323,1.96049,132.591,5.54302,0.459192,115.994,10.06,0.86675,0.599946,107.47,-0.178041,0.811565,10.6344,8.28798,12,0.0001,south
2017-01-03 12:55:12, Imran Khan, 2017-01-03T12:55:12,5,2, R,-8.2458,-0.738126,1.95108,136.638,2.56396,-0.0979204,118.448,10.06,0.305563,0.87422,106.647,-0.186626,-0.237388,12.0892,8.36809,12,0.0001,south
2017-01-03 12:56:14, Imran Khan, 2017-01-03T12:56:14,5,3, R,-8.38,-0.723198,1.93983,137.453,2.25378,0.136697,117.613,10.06,0.724701,0.904864,104.185,-0.804056,0.936491,12.2855,8.43972,12,0.0001,south
2017-01-03 12:57:01, Imran Khan, 2017-01-03T12:57:01,5,4, R,-8.3144,-0.717442,1.93521,136.027,4.30924,-0.0483544,116.571,10.06,0.215599,0.614838,106.289,-0.51129,0.200769,11.1248,7.27765,12,0.0001,south
2017-01-03 12:57:40, Imran Khan, 2017-01-03T12:57:40,5,5, R,-8.3658,-0.775989,1.9107,135.003,-1.6332,-0.471183,104.201,10.06,0.00738803,1.65133,97.1909,-0.0948728,-0.303258,16.9127,11.5162,12,0.0001,south
2017-01-03 12:58:31, Imran Khan, 2017-01-03T12:58:31,5,6, R,-8.3053,-0.73547,1.93236,134.506,2.71777,-0.015302,116.447,10.06,0.485822,0.890108,103.17,-0.0559529,0.425206,12.0108,8.70363,12,0.0001,south
2017-01-03 12:59:39, Mohammad Amir, 2017-01-03T12:59:39,6,1, L,8.5273,0.733744,1.92213,141.851,-3.70288,0.134095,122.304,-10.06,-0.139203,0.661341,110.406,0.674347,-0.63489,11.0964,7.20287,12,0.0001,north
2017-01-03 13:00:25, Mohammad Amir, 2017-01-03T13:00:25,6,2, L,8.5994,0.871855,1.89492,140.576,-1.61322,0.447622,119.866,-10.06,0.208237,0.887167,111.251,0.786836,-0.059347,12.1109,7.84413,13,0.0001,north
2017-01-03 13:01:08, Mohammad Amir, 2017-01-03T13:01:08,6,3, L,8.4861,0.874101,1.90042,144.728,-2.73362,0.441097,125.214,-10.06,0.0779041,0.815766,111.562,-1.12466,0.955725,11.3956,7.85313,13,0.0001,north
2017-01-03 13:01:45, Mohammad Amir, 2017-01-03T13:01:45,6,4, L,8.5014,0.827857,1.94061,124.698,-4.82545,0.34532,107.69,-10.06,0.147607,0.728108,98.7352,-0.84,1.45185,11.5047,9.15885,13,0.0001,north
2017-01-03 13:02:31, Mohammad Amir, 2017-01-03T13:02:31,6,5, L,8.4781,0.697099,1.85552,146.015,1.4468,0.436583,117.34,-10.06,-0.0148148,1.1539,112.143,-0.340923,0.417778,15.8802,8.91297,13,0.0001,north
2017-01-03 13:03:10, Mohammad Amir, 2017-01-03T13:03:10,6,6, L,8.6631,0.849469,1.93545,141.968,-3.38346,0.44293,121.197,-10.06,0.298582,0.83201,108.616,0.718461,-0.0442347,11.3433,8.46371,13,0.0001,north
2017-01-03 13:04:29, Wahab Riaz, 2017-01-03T13:04:29,7,1, L,-8.678,0.383847,2.0142,140.256,2.48288,0.298478,117.431,10.06,0.2091,0.847965,104.825,-0.364769,0.242283,12.2225,8.17397,13,0.0001,south
2017-01-03 13:05:00, Wahab Riaz, 2017-01-03T13:05:00,7,2, L,-8.5284,0.320696,2.00333,137.691,1.89105,0.267075,115.66,10.06,0.256627,0.964758,100.924,-0.0713263,0.554614,12.8779,8.83784,13,0.0001,south
2017-01-03 13:05:45, Wahab Riaz, 2017-01-03T13:05:45,7,3, L,-8.6439,0.315176,1.99785,136.925,0.4011,0.331968,112.292,10.06,0.273203,1.11595,101.127,-0.390671,-0.121947,14.0357,9.25933,13,0.0001,south
2017-01-03 13:06:15, Wahab Riaz, 2017-01-03T13:06:15,7,4, L,-8.551,0.537449,2.02638,140.479,1.91338,0.599279,116.869,10.06,0.686107,0.944401,111.988,0.213979,0.104678,12.6493,8.59137,13,0.0001,south
2017-01-03 13:06:46, Wahab Riaz, 2017-01-03T13:06:46,7,5, L,-8.8336,0.486246,1.9709,139.02,2.94247,0.524303,120.991,10.06,0.452404,0.819756,108.011,-0.996815,0.445872,11.7741,8.0888,13,0.0001,south
2017-01-03 13:07:18, Wahab Riaz, 2017-01-03T13:07:18,7,6, L,-8.4933,0.403133,2.01756,142.162,3.01708,0.440268,121.902,10.06,0.43656,0.843842,109.416,-0.265408,0.0948728,12.1432,8.33162,13,0.0001,south
2017-01-03 13:08:13, Mohammad Amir, 2017-01-03T13:08:13,8,1, L,8.3562,0.681508,1.85088,141.646,0.0532,0.331447,119.112,-10.06,-0.087105,1.20665,110.766,-0.193827,0.462248,13.8537,9.26095,13,0.0001,north
2017-01-03 13:09:01, Mohammad Amir, 2017-01-03T13:09:01,8,2, L,8.5381,0.759746,1.90302,144.645,0.9432,0.493913,118.973,-10.06,0.302826,1.44261,113.604,0.887573,0.236563,15.1761,10.1232,13,0.0001,north
2017-01-03 13:09:37, Mohammad Amir, 2017-01-03T13:09:37,8,3, L,8.498,0.747432,1.88582,143.342,-0.50557,0.409492,121.929,-10.06,0.0918768,1.18209,110.003,0.173589,0.148038,13.1501,9.25276,13,0.0001,north
2017-01-03 13:10:20, Mohammad Amir, 2017-01-03T13:10:20,8,4, L,8.4711,0.765395,1.92239,142.926,-2.55881,0.446978,124.561,-10.06,0.249554,0.860242,110.488,0.0989117,0.0839294,11.4954,8.08076,13,0.0001,north
2017-01-03 13:11:10, Mohammad Amir, 2017-01-03T13:11:10,8,5, L,8.5431,0.803074,1.91385,145.752,-3.72604,0.505552,128.625,-10.06,0.445305,0.720785,117.242,0.261696,1.11768,10.9096,7.61722,13,0.0001,north
2017-01-03 13:11:54, Mohammad Amir, 2017-01-03T13:11:54,8,6, L,8.4335,0.757911,1.90803,140.799,-3.61572,0.32658,123.007,-10.06,0.0596725,0.700317,110.911,0.128204,-0.873125,10.7951,7.47001,13,0.0001,north
2017-01-03 13:12:44, Wahab Riaz, 2017-01-03T13:12:44,9,1, L,-8.6361,0.434281,2.02012,142.017,1.79633,0.537503,121.589,10.06,0.663012,0.835951,116.839,0.202709,0.189746,12.5135,7.57274,13,0.0001,south
2017-01-03 13:13:16, Wahab Riaz, 2017-01-03T13:13:16,9,2, L,-8.5295,0.418485,2.0046,145.793,2.66327,0.345987,122.247,10.06,0.27443,0.796319,108.847,-0.253338,0.132704,12.1893,7.74345,13,0.0001,south
2017-01-03 13:13:52, Wahab Riaz, 2017-01-03T13:13:52,9,3, L,-8.3816,0.496375,2.00124,142.735,1.67641,0.582483,124.925,10.06,0.630051,1.03024,110.956,-0.305187,0.268341,12.7142,8.79899,13,0.0001,south
2017-01-03 13:14:26, Wahab Riaz, 2017-01-03T13:14:26,9,4, L,-8.4462,0.514111,1.9894,140.393,0.23207,0.679206,115.886,10.06,0.892678,1.12387,112.597,-0.0395647,0.360452,14.1195,9.01766,13,0.0001,south
2017-01-03 13:14:59, Wahab Riaz, 2017-01-03T13:14:59,9,5, L,-8.275,0.44768,1.98585,141.072,1.59645,0.62547,119.271,10.06,0.858651,1.00956,115.314,0.542486,0.0,12.8042,8.53937,13,0.0001,south
2017-01-03 13:15:36, Wahab Riaz, 2017-01-03T13:15:36,9,6, L,-8.6499,0.377812,2.02664,149.172,3.97108,0.476436,125.264,10.06,0.498349,0.875388,115.841,-0.175829,-0.121947,11.3915,9.25958,13,0.0001,south
2017-01-03 13:17:50, Yasir Shah, 2017-01-03T13:17:50,10,1, R,8.5255,-0.612213,1.94088,88.3041,-5.88608,-0.211378,74.3136,-10.06,-0.254189,0.651814,68.6499,-2.49387,0.605549,15.2041,11.1664,13,0.0001,north
2017-01-03 13:18:11, Yasir Shah, 2017-01-03T13:18:11,10,2, R,8.8535,-0.650912,1.94109,84.6848,-5.4752,-0.16826,69.4467,-10.06,-0.186657,0.753621,62.9662,-2.27193,0.213979,15.5662,12.4804,13,0.0001,north
2017-01-03 13:18:31, Yasir Shah, 2017-01-03T13:18:31,10,3, R,8.5624,-0.681402,1.97208,85.0053,-4.38116,-0.0419502,72.7269,-10.06,0.0504585,0.75043,65.2869,-2.2155,0.62244,15.3593,11.1985,13,0.0001,north
2017-01-03 13:18:53, Yasir Shah, 2017-01-03T13:18:53,10,4, R,8.6036,-0.609881,1.97336,84.8654,-4.80593,-0.0889139,70.0176,-10.06,-0.0862387,0.781867,62.7942,-2.60579,0.798684,15.5789,12.1669,13,0.0001,north
2017-01-03 13:19:34, Yasir Shah, 2017-01-03T13:19:34,10,5, R,8.6077,-0.626437,1.93908,86.1692,-3.09789,-0.0597345,70.5488,-10.06,-0.068242,0.879421,61.5002,-3.57034,1.41098,15.7009,12.3465,13,0.0001,north
2017-01-03 13:20:02, Yasir Shah, 2017-01-03T13:20:02,10,6, R,8.635,-0.63544,1.99002,85.9885,-5.56639,0.250286,68.8895,-10.06,0.437156,0.780367,62.8917,-2.99519,3.48622,15.9282,12.9343,13,0.0001,north
2017-01-03 13:20:54, Wahab Riaz, 2017-01-03T13:20:54,11,1, L,-8.1904,0.466849,1.95272,143.223,2.10165,0.373031,121.759,10.06,0.273483,0.919477,107.94,-0.346615,0.291412,12.428,8.33272,13,0.0001,south
2017-01-03 13:21:25, Wahab Riaz, 2017-01-03T13:21:25,11,2, L,-8.582,0.484134,2.04796,141.239,2.83901,0.483284,117.488,10.06,0.455624,0.811457,114.191,-0.278362,0.121947,12.1229,8.09542,13,0.0001,south
2017-01-03 13:22:10, Wahab Riaz, 2017-01-03T13:22:10,11,3, L,-8.3001,0.504364,1.94898,139.956,2.03619,0.340894,121.4,10.06,0.234391,0.977919,107.334,-0.19881,0.670272,12.3292,8.71093,13,0.0001,south
2017-01-03 13:22:59, Wahab Riaz, 2017-01-03T13:22:59,11,4, L,-8.667,0.408381,2.00856,147.822,3.58364,0.353458,124.165,10.06,0.211496,0.746729,111.628,-1.04941,0.0927874,11.3588,7.80619,13,0.0001,south
2017-01-03 13:23:34, Wahab Riaz, 2017-01-03T13:23:34,11,5, L,-8.3125,0.420978,1.92968,141.839,-2.2655,0.493712,107.631,10.06,0.594711,2.10481,102.954,-0.287355,0.131221,18.4837,13.5187,13,0.0001,south
2017-01-03 13:24:09, Wahab Riaz, 2017-01-03T13:24:09,11,6, L,-8.45,0.454063,2.0025,144.022,-0.6699,0.311483,116.063,10.06,0.0695824,1.62036,111.4,-0.350545,0.209357,15.4425,11.3426,13,0.0001,south
2017-01-03 13:25:14, Yasir Shah, 2017-01-03T13:25:14,12,1, R,8.5644,-0.618786,1.93914,85.3938,-6.23201,0.215173,70.1079,-10.06,0.327057,0.625023,64.8169,-3.20027,3.22039,15.7821,11.6355,13,0.0001,north
2017-01-03 13:25:35, Yasir Shah, 2017-01-03T13:25:35,12,2, R,8.7526,-0.714855,1.95476,83.2584,-7.06063,0.180749,67.1458,-10.06,0.266545,0.502191,63.017,-3.40898,3.47812,16.8953,11.2615,13,0.0001,north
2017-01-03 13:25:55, Yasir Shah, 2017-01-03T13:25:55,12,3, R,8.5911,-0.623632,1.95311,83.0874,-4.69498,0.0630522,67.7899,-10.06,0.168545,0.781183,60.8891,-3.4216,3.09952,16.355,12.3364,13,0.0001,north
2017-01-03 13:26:16, Yasir Shah, 2017-01-03T13:26:16,12,4, R,8.7871,-0.640273,1.98195,86.4602,-7.44821,0.0057578,70.1697,-10.06,0.00923347,0.534522,66.484,-3.34158,2.17565,16.348,12.7126,13,0.0001,north
2017-01-03 13:26:47, Yasir Shah, 2017-01-03T13:26:47,12,5, R,8.7185,-0.656895,1.91887,87.3109,-5.68553,0.0700091,72.8254,-10.06,0.139956,0.623386,66.9922,-2.96432,1.91653,15.764,10.6787,13,0.0001,north
2017-01-03 13:27:31, Yasir Shah, 2017-01-03T13:27:31,12,6, R,8.5766,-0.659343,1.95647,87.399,-4.01674,-0.108267,69.7195,-10.06,-0.0561012,0.71721,61.5461,-3.34293,2.57184,15.5208,11.2089,13,0.0001,north
