Month,Year,Twitter,Display Name,Verified,End of Month Followers,Tweets,Total Times Retweeted,Others Retweeted,Total Times Favourited,Times Other User Mentioned
11,2014,@Australia,Australia,1,177756,353,7552,137,10803,248
11,2014,@TourismAus,Tourism Australia,1,58393,105,356,27,291,51
11,2014,@CSIROnews,CSIRO,1,32783,166,1161,2,660,54
11,2014,@dfat,DFAT,1,32711,380,1380,89,765,289
11,2014,@headspace_aus,headspace,1,27310,59,336,15,195,29
11,2014,@AusHumanRights,AusHumanRights,1,24541,229,390,149,153,73
11,2014,@nlagovau,National Library Aus,1,24168,218,450,83,255,109
11,2014,@AMSA_News,AMSA News,1,24004,47,28,10,21,14
11,2014,@auscouncilarts,Australia Council,1,23773,42,145,18,69,12
11,2014,@artsculturegov,AusGov Arts&Culture,1,23173,118,25,108,16,9
11,2014,@RBAInfo,RBA,1,21994,23,249,0,57,0
11,2014,@ato_gov_au,ato.gov.au,1,21373,128,430,1,93,59
11,2014,@Mike_Rann,Mike Rann,1,20421,171,232,30,196,42
11,2014,@NatGalleryAus,National Gallery ,1,20015,106,157,26,140,16
11,2014,@AboutTheHouse,About the House,1,19875,116,283,2,70,37
11,2014,@ABSStats,AU Bureau of Stats,1,19793,34,141,0,59,0
11,2014,@healthgovau,Department of Health,1,19198,64,260,4,85,19
11,2014,@ScreenAustralia,Screen Australia,1,18587,49,118,25,88,20
11,2014,@ABSCensus,Census Australia,1,18366,44,267,0,174,9
11,2014,@business_gov_au,business.gov.au,1,16649,87,146,20,74,16
11,2014,@Ausport,Australian Sport,1,16451,286,747,143,648,185
11,2014,@AuSenate,Australian Senate,1,15100,215,738,14,247,66
11,2014,@nhmrc,NHMRC,1,13780,9,47,0,20,11
11,2014,@AusAmbUSA,Kim Beazley,1,13685,123,208,78,187,39
11,2014,@AustralianArmy,The Australian Army,1,13462,14,76,10,57,3
11,2014,@Australian_Navy,RoyalAustralianNavy,1,12541,184,1220,53,1164,13
11,2014,@indigenous_gov,Closing the Gap,1,11860,111,259,27,209,61
11,2014,@experiment_arts,Experimental Arts,1,11651,11,33,2,32,9
11,2014,@AWMemorial,Aust War Memorial,1,10885,292,507,222,335,26
11,2014,@FutureUnlimited,Study in Australia,1,10408,15,10,6,11,2
11,2014,@Aus_AirForce,RAAF - Aus_AirForce,1,10246,67,245,17,221,9
11,2014,@ACTPol_Traffic,ACTPol_Traffic,1,10141,69,127,0,17,5
11,2014,@fairwork_gov_au,Fair Work Ombudsman,1,9448,81,374,1,310,27
11,2014,@Eduspokesperson,Eduspokesperson,1,9019,30,31,16,10,1
11,2014,@AusLawReform,ALRC,1,8701,36,108,16,36,15
11,2014,@ParlLibrary,Parliament Library,1,8455,37,91,0,26,0
11,2014,@RecogniseAU,RECOGNISE,1,8333,195,460,95,335,116
11,2014,@G20Australia,Australia G20,1,8209,23,718,10,364,8
11,2014,@DeptDefence,Dept of Defence,1,8195,122,931,26,558,48
11,2014,@NPG_Canberra,Portrait Gallery,1,8095,26,26,12,20,6
11,2014,@TroveAustralia,Trove,1,8070,193,302,25,218,59
11,2014,@DubesAustralia,Greg Moriarty,1,8048,144,309,22,171,75
11,2014,@ANMMuseum,Nat. Maritime Museum,1,8040,51,117,10,80,37
11,2014,@AusElectoralCom,AEC,1,7955,17,42,10,7,6
11,2014,@Austrade,Austrade,1,7924,50,124,17,63,25
11,2014,@ASIC_Connect,ASIC Connect,1,7873,44,42,8,11,19
11,2014,@CommsAu,Dept. Communications,1,7814,125,225,28,72,57
11,2014,@ArtStartGrants,ArtStartGrants,0,7712,10,1,8,0,5
11,2014,@SCAMwatch_gov,SCAMwatch_gov_au,1,7620,12,96,4,12,1
11,2014,@nma,NationalMuseumofAust,1,7577,42,58,12,51,30
11,2014,@Theatre_OzCo,Theatre,1,7452,1,0,0,0,1
11,2014,@DeptAgNews,Dept of Agriculture,1,7281,27,49,2,18,23
11,2014,@acmadotgov,The ACMA,1,7074,125,191,26,63,75
11,2014,@CreativePships,CreativePartnerships,1,6926,37,17,13,13,29
11,2014,@DIBPAustralia,DIBP Australia,1,6754,116,62,7,22,93
11,2014,@naagovau,NationalArchivesAus,1,6694,73,76,23,71,26
11,2014,@australiascreen,australianscreen,1,6482,61,61,14,48,22
11,2014,@ACTPolicing,ACT Policing,1,6277,144,555,27,237,44
11,2014,@SpaceAustralia,Australian Space,1,6093,0,0,0,0,0
11,2014,@ABARES,ABARES,1,5954,7,12,1,15,0
11,2014,@AustraliaUN,Gary Quinlan,1,5816,207,843,27,473,82
11,2014,@MoneySmartTeam,MoneySmartTeam,1,5775,60,92,9,40,3
11,2014,@aihw,AIHW,0,5624,15,60,0,6,14
11,2014,@CanberraDSN,CanberraDSN,1,5048,44,377,12,307,56
11,2014,@asicmedia,ASIC Media,1,4789,72,117,7,34,7
11,2014,@Aus_ScienceWeek,NationalScienceWeek,0,4734,401,189,213,108,161
11,2014,@ACCCProdSafety,ACCC Product Safety,1,4534,42,114,2,6,0
11,2014,@CPOACT,CPOACT,1,4371,24,54,0,23,8
